# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.15.2

shop::items::광물::31, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::32, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::33, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::34, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::35, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::36, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::37, itemstack, 810576616C756520804976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A2049524F4E5F494E474F540A
shop::items::광물::38, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::39, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::40, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::41, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::42, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::43, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::items::광물::44, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop::list::광물, string, 8006EAB491EBACBC
shop::sell::광물::12, integer, 000186A0
shop.list::2, string, 8006ECA285ED95A9
shop.setting.item::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da::1, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204449414D4F4E440A
shop.setting.item::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da::2, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop.setting.item::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da::3, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop.setting.item::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da::4, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop.setting.item::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da::5, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop.setting.item::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da::6, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop.setting.item::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da::7, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop.setting.item::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da::8, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop.setting.item::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da::9, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::10::1", itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204449414D4F4E440A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::10::2", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::10::3", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::10::4", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::10::5", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::10::6", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::10::7", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::10::8", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::10::9", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::11::1", itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204449414D4F4E440A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::11::2", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::11::3", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::11::4", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::11::5", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::11::6", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::11::7", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::11::8", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
"shop.trade::[ 상점 거래설정 ] [ 거래 ] 종합::11::9", itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343138390A2020747970653A204149520A2020616D6F756E743A20300A
shop.type::종합, string, 80066E6F726D616C
spawn.cooldown.ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da, date, 810974696D657374616D70040000019DF3903D28
wild.cooldown.762a74b1-6700-4e6d-b4c8-12c25729df5e, date, 810974696D657374616D70040000019E0DB803C9
wild.cooldown.e849c0df-149d-4472-8443-a2e3a1d5c3bd, date, 810974696D657374616D70040000019E11ACFA92
wild.cooldown.ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da, date, 810974696D657374616D70040000019E1139A65A
기본템::e849c0df-149d-4472-8443-a2e3a1d5c3bd, boolean, 01
기본템::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da, boolean, 01
데스::76cd5997-a601-4d45-9002-e0429c0c4f9f, long, 0000000000000003
데스::e849c0df-149d-4472-8443-a2e3a1d5c3bd, long, 0000000000000001
데스::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da, long, 0000000000000003
돈::76cd5997-a601-4d45-9002-e0429c0c4f9f, long, 000000000000C350
돈::e849c0df-149d-4472-8443-a2e3a1d5c3bd, long, 0000000000004E20
돈::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da, double, 4105F90000000000
스폰쿨타임::00d959bc-b78b-4dab-aff3-e8deffe0c01d, date, 810974696D657374616D70040000019DFDF90538
스폰쿨타임::04eed582-96f7-4cbf-b91c-45458810599c, date, 810974696D657374616D70040000019E090CC245
스폰쿨타임::762a74b1-6700-4e6d-b4c8-12c25729df5e, date, 810974696D657374616D70040000019E0DB838F8
스폰쿨타임::09338048-35e3-4acf-95d9-da56a2bced8d, date, 810974696D657374616D70040000019E0DD2979A
스폰쿨타임::a5836e10-e46c-40e8-af95-b90ce1df0d1f, date, 810974696D657374616D70040000019DFCDBA901
스폰쿨타임::e849c0df-149d-4472-8443-a2e3a1d5c3bd, date, 810974696D657374616D70040000019E11AD5FCA
스폰쿨타임::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da, date, 810974696D657374616D70040000019E11396C5B
스폰쿨타임::ebed48c3-fac4-4361-b7fe-222c17177603, date, 810974696D657374616D70040000019E086B4C4A
접속시간::0a54b4a1-a5ff-4d9c-86d0-158779f01379, long, 0000000000000007
접속시간::00d959bc-b78b-4dab-aff3-e8deffe0c01d, long, 0000000000000002
접속시간::04eed582-96f7-4cbf-b91c-45458810599c, long, 0000000000000006
접속시간::7c21325a-6cb6-4230-838b-f9690db5fa69, long, 0000000000000005
접속시간::76cd5997-a601-4d45-9002-e0429c0c4f9f, long, 0000000000000002
접속시간::762a74b1-6700-4e6d-b4c8-12c25729df5e, long, 0000000000000006
접속시간::09338048-35e3-4acf-95d9-da56a2bced8d, long, 0000000000000008
접속시간::a5836e10-e46c-40e8-af95-b90ce1df0d1f, long, 0000000000000007
접속시간::d50a61af-3b45-4a59-ad9f-aa10c6c1f53c, long, 0000000000000004
접속시간::e849c0df-149d-4472-8443-a2e3a1d5c3bd, long, 0000000000000005
접속시간::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da, long, 0000000000000009
접속시간::ebed48c3-fac4-4361-b7fe-222c17177603, long, 0000000000000002
접속시간::eedbdfe4-6e47-4ebc-a12c-8f870e7511d2, long, 0000000000000005
접속시간::f54f2f6a-8922-4211-a531-e3aa2e4dd5ae, long, 0000000000000001
킬::0a54b4a1-a5ff-4d9c-86d0-158779f01379, long, 0000000000000000
킬::00d959bc-b78b-4dab-aff3-e8deffe0c01d, long, 0000000000000000
킬::04eed582-96f7-4cbf-b91c-45458810599c, long, 0000000000000001
킬::5f2ffe60-6ae7-453a-bb9b-153c46a573a9, long, 0000000000000000
킬::7c21325a-6cb6-4230-838b-f9690db5fa69, long, 0000000000000000
킬::76cd5997-a601-4d45-9002-e0429c0c4f9f, long, 0000000000000000
킬::762a74b1-6700-4e6d-b4c8-12c25729df5e, long, 0000000000000000
킬::09338048-35e3-4acf-95d9-da56a2bced8d, long, 0000000000000000
킬::a5836e10-e46c-40e8-af95-b90ce1df0d1f, long, 0000000000000000
킬::d50a61af-3b45-4a59-ad9f-aa10c6c1f53c, long, 0000000000000000
킬::e849c0df-149d-4472-8443-a2e3a1d5c3bd, long, 0000000000000000
킬::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da, long, 0000000000000015
킬::ebed48c3-fac4-4361-b7fe-222c17177603, long, 0000000000000000
킬::eedbdfe4-6e47-4ebc-a12c-8f870e7511d2, long, 0000000000000000
킬::f54f2f6a-8922-4211-a531-e3aa2e4dd5ae, long, 0000000000000000
플타::76cd5997-a601-4d45-9002-e0429c0c4f9f, long, 0000000000000036
플타::e849c0df-149d-4472-8443-a2e3a1d5c3bd, long, 0000000000000044
플타::ebaac82e-f1f0-4bf1-a2cc-f3a4a23540da, long, 00000000000000A0

